Transaction_id,customer_id,Payment direction,Payment Status,Payment Type,payment system,Product,Payment Amount,Payment Currency,Transaction_date,CounterpartBIC
13543620,1167,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-09,HGKHLTXX
13543621,1164,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-28,JKGJLVXX
13543622,1162,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-30,JKGJLTXX
13543623,1143,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-16,FJDCLVXX
13543624,1120,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-22,FJDCLVXX
13543625,1162,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-13,JKGJUKXX
13543626,1154,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-14,JKGJDEXX
13543627,1162,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-04,LKJFEEXX
13543628,1154,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-27,UWEILVXX
13543629,1144,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-10,LKJFLVXX
13543630,1129,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-06,CIUVDEXX
13543631,1119,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-09,LKJFLVXX
13543632,1153,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-04,HKKJLVXX
13543633,1151,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-08,HKKJLTXX
13543634,1129,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-01-13,HGKHUKXX
13543635,1141,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-19,GLKLLVXX
13543636,1150,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,10,EUR,2025-02-09,JKGJLTXX
13543637,1135,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-02,UWEILVXX
13543638,1167,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-26,FJDCEEXX
13543639,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-11,FJKULVXX
13543640,1146,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-24,HKKJEEXX
13543641,1157,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-03,FJKUDEXX
13543642,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-09,FJDCUKXX
13543643,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-19,HKKJUKXX
13543644,1118,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-14,JKGJDEXX
13543645,1165,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-01-26,FJDCLVXX
13543646,1144,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-16,CIUVLVXX
13543647,1126,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-16,GLKLLTXX
13543648,1152,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-02,FJDCLVXX
13543649,1148,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-22,FJKULVXX
13543650,1125,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,20,EUR,2025-02-11,CIUVDEXX
13543651,1125,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,65,EUR,2025-01-01,HKKJLTXX
13543652,1123,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,11,EUR,2025-01-16,FJKULTXX
13543653,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,30,EUR,2025-01-06,HKKJLTXX
13543654,1167,OUTGOING,REJECTED,STANDARD_PAYMENT_TYPE,SCT,SEPA,30,EUR,2025-02-10,HGKHLVXX
13543655,1145,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,25,EUR,2025-01-19,GLKLLVXX
13543656,1128,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,260,EUR,2025-01-01,HJGFDEXX
13543657,1147,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,11,EUR,2025-02-20,FJDCLTXX
13543658,1122,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,25,EUR,2025-02-01,HJGFLVXX
13543659,1148,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,15,EUR,2025-02-18,FJDCDEXX
13543660,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,12,EUR,2025-02-26,FJKULVXX
13543661,1123,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,25,EUR,2025-01-24,FJDCLTXX
13543662,1125,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,11,EUR,2025-01-28,GLKLLVXX
13543663,1151,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,15,EUR,2025-01-26,JKGJLVXX
13543664,1120,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,40,EUR,2025-01-26,JKGJUKXX
13543665,1127,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,11,EUR,2025-01-09,UWEILVXX
13543666,1154,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,11,EUR,2025-02-23,JKGJDEXX
13543667,1166,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,30,EUR,2025-01-14,LKJFEEXX
13543668,1123,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,25,EUR,2025-02-13,JKGJLVXX
13543669,1159,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,21,EUR,2025-02-10,LKJFLVXX
13543670,1144,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCT,SEPA,25,EUR,2025-02-03,HKKJLVXX
13543671,1120,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,35,EUR,2025-01-27,UWEIDEXX
13543672,1143,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,30,EUR,2025-02-03,GLKLDEXX
13543673,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,15,EUR,2025-01-23,HJGFLTXX
13543674,1165,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,216.85,EUR,2025-01-02,HGKHCYXX
13543675,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2657.51,EUR,2025-02-26,LKJFLVXX
13543676,1140,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2003.96,EUR,2025-02-15,FJDCLTXX
13543677,1140,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2200,EUR,2025-02-04,HKKJLVXX
13543678,1158,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,140,EUR,2025-01-09,CIUVLTXX
13543679,1122,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,10417.5,EUR,2025-01-23,UWEILVXX
13543680,1125,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2400,EUR,2025-01-28,UWEILVXX
13543681,1140,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,50,EUR,2025-02-27,FJKULVXX
13543682,1119,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2400,EUR,2025-01-05,JKGJEEXX
13543683,1159,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,1596.31,EUR,2025-02-18,LKJFLVXX
13543684,1157,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,11706.27,EUR,2025-01-01,HJGFLVXX
13543685,1154,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,0.02,EUR,2025-01-25,HGKHLTXX
13543686,1138,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCT,SEPA,0.01,EUR,2025-01-26,FJDCLVXX
13543687,1122,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,0.01,EUR,2025-02-03,FJDCLTXX
13543688,1127,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,252,EUR,2025-02-14,LKJFLVXX
13543689,1138,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,21750,EUR,2025-02-13,JKGJLVXX
13543690,1149,OUTGOING,REJECTED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2392.54,EUR,2025-01-18,JKGJLTXX
13543691,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,16216.45,EUR,2025-02-13,FJDCLTXX
13543692,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,0.01,EUR,2025-01-20,HJGFLVXX
13543693,1135,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2405.53,EUR,2025-01-16,FJDCUKXX
13543694,1124,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,0.01,EUR,2025-02-21,HGKHLTXX
13543695,1133,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,7500,EUR,2025-01-08,CIUVLVXX
13543696,1135,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,4585,EUR,2025-02-28,LKJFUKXX
13543697,1165,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,99731.58,EUR,2025-02-22,FJKUDEXX
13543698,1166,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,7500,EUR,2025-01-29,JKGJDEXX
13543699,1157,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,175,EUR,2025-02-22,CIUVEEXX
13543700,1134,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,2274.8,EUR,2025-02-04,JKGJUKXX
13543701,1147,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,98322.17,EUR,2025-01-28,FJKULVXX
13543702,1166,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,10097.79,EUR,2025-02-25,FJDCLTXX
13543703,1166,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SCTINST,SEPA,249,EUR,2025-02-14,FJKUCYXX
13543704,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,8640,USD,2025-01-04,FJKUDEXX
13543705,1153,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,8640,USD,2025-02-09,HJGFLVXX
13543706,1118,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,3118.45,USD,2025-02-27,HGKHUKXX
13543707,1161,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,5789.48,USD,2025-01-23,FJDCLVXX
13543708,1132,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10430.37,USD,2025-01-26,LKJFDEXX
13543709,1144,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,4811.27,USD,2025-02-07,CIUVLVXX
13543710,1141,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,652.5,USD,2025-01-27,GLKLLTXX
13543711,1128,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1250,USD,2025-01-11,CIUVLVXX
13543712,1164,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,5462.3,USD,2025-02-19,FJKULVXX
13543713,1163,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,2082.28,USD,2025-01-28,HGKHLTXX
13543714,1166,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,3032622.49,USD,2025-01-17,LKJFLVXX
13543715,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,3999.8,RON,2025-01-07,CIUVLVXX
13543716,1165,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,3700,RON,2025-02-15,CIUVCYXX
13543717,1145,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,2747.74,HKD,2025-02-09,JKGJLTXX
13543718,1164,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,250,SEK,2025-01-08,JKGJLVXX
13543719,1158,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,695,RON,2025-02-09,JKGJLVXX
13543720,1125,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,5399.97,RON,2025-01-25,FJDCUKXX
13543721,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,8400,SEK,2025-01-23,LKJFCYXX
13543722,1143,OUTGOING,REJECTED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,579,PLN,2025-02-23,GLKLLVXX
13543723,1121,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,22015.15,RON,2025-01-31,CIUVLVXX
13543724,1153,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10450.67,RON,2025-02-23,CIUVLVXX
13543725,1157,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,12599.98,RON,2025-02-11,FJKULVXX
13543726,1150,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,17271.62,RON,2025-01-23,CIUVLVXX
13543727,1132,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,17724.22,RON,2025-02-01,JKGJDEXX
13543728,1143,OUTGOING,ON HOLD,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,2747.74,HKD,2025-02-24,FJKULVXX
13543729,1149,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,17125,RON,2025-01-02,HJGFLVXX
13543730,1148,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,2554.62,RON,2025-02-27,HJGFDEXX
13543731,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,120,GBP,2025-01-02,FJKUDEXX
13543732,1121,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1150,GBP,2025-02-15,LKJFUKXX
13543733,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,835,GBP,2025-01-30,LKJFLTXX
13543734,1124,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,25000,GBP,2025-02-01,FJDCUKXX
13543735,1118,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,3926,GBP,2025-01-13,FJDCLVXX
13543736,1156,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,8419.66,GBP,2025-02-06,HJGFDEXX
13543737,1129,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,83.2,GBP,2025-01-01,JKGJLVXX
13543738,1158,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10000,GBP,2025-02-16,JKGJLVXX
13543739,1124,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1445,GBP,2025-01-31,GLKLUKXX
13543740,1129,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10000,GBP,2025-02-06,JKGJLVXX
13543741,1127,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1850,GBP,2025-02-12,FJKULVXX
13543742,1160,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,237725.81,GBP,2025-02-10,HJGFLVXX
13543743,1131,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,64719.04,GBP,2025-02-04,CIUVLVXX
13543744,1128,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,119136.56,GBP,2025-01-31,FJKULVXX
13543745,1146,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,700.02,GBP,2025-02-26,JKGJLVXX
13543746,1159,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,6292.34,GBP,2025-02-24,LKJFEEXX
13543747,1130,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1000000,GBP,2025-01-02,LKJFUKXX
13543748,1139,OUTGOING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,1000000,GBP,2025-02-18,LKJFLVXX
13543749,1141,INCOMING,REJECTED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,605665.83,GBP,2025-02-16,LKJFLVXX
13543750,1126,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,8181.02,GBP,2025-01-01,LKJFEEXX
13543751,1138,INCOMING,ON HOLD,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,10515.91,GBP,2025-01-14,FJDCLVXX
13543752,1118,INCOMING,COMPLETED,STANDARD_PAYMENT_TYPE,SWIFT,Cross-Border,7118.61,GBP,2025-01-31,HKKJDEXX
